STATION,FISHSET_ID,SET_NO,SDAYTIME,P2DAYTIME,P3DAYTIME,EDAYTIME,SOAKMINP3P1,SOAKMINP3P2,P1LAT,P2LAT,P3LAT,P4LAT,P1LONG,P2LONG,P3LONG,P4LONG,DURATION,YEAR,SDEPTH,P2DEPTH,P3DEPTH,EDEPTH,TRIP_ID,SETCD_ID,STRATUM_ID,NAFAREA_ID,NUM_HOOK_HAUL,GEAR_ID,HAULCCD_ID,LENLLKM,GEAR_LEN_M,SPECSCD_ID,MAINLINE_DIAM,MAINLINE_LEN,BAIT_TYPE,GANGION_LENGTH,HOOKSPACINGM,MAINLINE_TYPE,MAINLINE_MAT,MAINLINE_WTAVG_KG,BAIT_AVG_WT,MILWARD,GEARCD_ID,HOOKCD_ID,HOOKSIZE,CATCH_ID,SPECCD_ID,EST_NUM_CAUGHT,EST_COMBINED_WT,TRIPCD_ID,TRIP,VESS_ID,VESSEL,CFV,ASSIGNED_STATION,ASSIGNED_STRATUM_ID,avg_weight,SLATITUDE,SLONGITUDE,ELATITUDE,ELONGITUDE,NAFDIV,P1TIME,P2TIME,P3TIME,P4TIME,SURVEY_AREA,SDAYTIME_UTC,P2DAYTIME_UTC,P3DAYTIME_UTC,EDAYTIME_UTC,P1TIME_UTC,P2TIME_UTC,P3TIME_UTC,P4TIME_UTC,MAINLINE_WTAVG_ADDED,lat.DecDeg_Assigned,lon.DecDeg_Assigned,STRATA_Assigned,Coordinator,VESSEL_Completed,Coordinator_Completed,dist_from_station
1,100395604,9,2024-07-16 07:04:00,2024-07-16 07:28:00,2024-07-16 17:37:00,2024-07-16 19:26:00,633,609,43.44717,43.49,43.44983,43.492,-66.29933,-66.31983,-66.2995,-66.31917,742,2024,58,55,56,54,100059330,5,H11,4XQ,1000,100054224,1,5.1,5100,30,8.2,NA,HERRING,0.75,NA,2,1,NA,138,NA,51,141,15,102343376,30,0,79,7057,J24-0314,23060,T & 3J'S,108074,1,H11,Inf,43.44717,-66.29933,43.492,-66.31917,4X,704,728,1737,1926,1,2024-07-16 10:04:00,2024-07-16 10:28:00,2024-07-16 20:37:00,2024-07-16 22:26:00,1004,1028,2037,2226,NO,43.46364,-66.30765,H11,Nova Scotia,T & 3J's,Nova Scotia,0.034
10,100395646,1,2024-07-03 05:36:00,2024-07-03 06:04:00,2024-07-03 11:44:00,2024-07-03 14:30:00,368,340,42.544,42.5755,42.57033,42.5435,-64.65733,-64.6085,-64.608,-64.65767,534,2024,130,132,132,126,100059334,5,H11,4XN,1000,100054228,1,5.4,5400,30,7.7,1.83,HERRING,0.84,5.4,2,1,NA,130,NA,51,141,15,102344280,30,7,67,7057,J24-0310,24500,LIQUID COURAGE,108127,10,H11,9.57142857142857,42.544,-64.65733,42.5435,-64.65767,4X,536,604,1144,1430,1,2024-07-03 08:36:00,2024-07-03 09:04:00,2024-07-03 14:44:00,2024-07-03 17:30:00,836,904,1444,1730,NO,42.55554,-64.64013,H11,Nova Scotia,Liquid Courage,Nova Scotia,0.037
100,100398083,3,2024-07-18 05:23:00,2024-07-18 06:10:00,2024-07-18 14:25:00,2024-07-18 18:04:00,542,495,44.30817,44.30833,44.30683,44.31533,-59.39417,-59.449,-59.44867,-59.392,761,2024,117,123,123,117,100059401,5,H32,4VS,1000,100054379,1,4,4000,30,8,NA,NA,0.72,5.3,NA,NA,0.54,NA,NA,51,141,15,102364578,30,19,170,7057,J24-0307B,16240,CAPT'N NICK,106425,100,H32,8.94736842105263,44.30817,-59.39417,44.31533,-59.392,4V,523,610,1425,1804,3,2024-07-18 08:23:00,2024-07-18 09:10:00,2024-07-18 17:25:00,2024-07-18 21:04:00,823,910,1725,2104,YES,44.31125,-59.41731,H32,Nova Scotia,Capt'n Nick,Nova Scotia,0.334
101,100396224,31,2024-06-10 06:03:00,2024-06-10 06:26:00,2024-06-10 12:58:00,2024-06-10 14:25:00,415,392,45.055,45.01467,45.05383,0,-57.9815,-57.99733,-57.9825,0,502,2024,135,122,134,0,100059359,5,H32,4VS,1000,100054323,1,NA,NA,30,9.3,NA,HERRING,0.762,4.6,1,2,1,168,NA,51,141,15,102349064,30,19,505,7057,J24-0302,25939,LADY TRISH,108118,101,H32,26.5789473684211,45.055,-57.9815,0,0,4V,603,626,1258,1425,3,2024-06-10 09:03:00,2024-06-10 09:26:00,2024-06-10 15:58:00,2024-06-10 17:25:00,903,926,1558,1725,YES,45.03488,-57.98708,H32,Nova Scotia,Lady Trish,Nova Scotia,0.176
102,100395945,1,2024-07-04 05:14:00,2024-07-04 05:45:00,2024-07-04 12:49:00,2024-07-04 15:33:00,455,424,45.583,45.60833,45.6075,45.5835,-59.83833,-59.7925,-59.79617,-59.84033,619,2024,77,73,73,78,100059348,5,H32,4VS,1000,100054264,1,4,4000,30,7.9,NA,HERRING,0.72,5.3,1,2,0.54,NA,NA,51,141,15,102346457,30,1,14,7057,J24-0307A,16240,CAPT'N NICK,106425,102,H32,14,45.583,-59.83833,45.5835,-59.84033,4V,514,545,1249,1533,3,2024-07-04 08:14:00,2024-07-04 08:45:00,2024-07-04 15:49:00,2024-07-04 18:33:00,814,845,1549,1833,YES,45.59442,-59.81829,H32,Nova Scotia,Capt'n Nick,Nova Scotia,0.03
103,100396184,2,2024-07-22 05:21:00,2024-07-22 05:42:00,2024-07-22 11:37:00,2024-07-22 13:47:00,376,355,44.96833,44.995,44.97017,44.97183,-57.51667,-57.475,-57.5195,-57.4655,506,2024,62,273,65,225,100059358,5,H32,4VS,1000,100054311,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,174,NA,51,141,15,102348610,30,3,41,7057,J24-0312B,23323,ADELE EVANGELINE,107266,103,H32,13.6666666666667,44.96833,-57.51667,44.97183,-57.4655,4V,521,542,1137,1347,3,2024-07-22 08:21:00,2024-07-22 08:42:00,2024-07-22 14:37:00,2024-07-22 16:47:00,821,842,1437,1647,YES,44.98073,-57.49968,H32,Nova Scotia,Adele Evangeline,Nova Scotia,0.126
104,100398081,1,2024-07-16 06:00:00,2024-07-16 06:35:00,2024-07-16 14:10:00,2024-07-16 17:17:00,490,455,44.851,44.88017,44.85583,44.88017,-59.91217,-59.86717,-59.91417,-59.86617,677,2024,131,93,131,98,100059401,5,H32,4VS,1000,100054379,1,4,4000,30,8,NA,NA,0.72,5.3,NA,NA,0.54,NA,NA,51,141,15,102364556,30,1,25,7057,J24-0307B,16240,CAPT'N NICK,106425,104,H32,25,44.851,-59.91217,44.88017,-59.86617,4V,600,635,1410,1717,3,2024-07-16 09:00:00,2024-07-16 09:35:00,2024-07-16 17:10:00,2024-07-16 20:17:00,900,935,1710,2017,YES,44.86279,-59.89352,H32,Nova Scotia,Capt'n Nick,Nova Scotia,0.025
105,100396190,8,2024-07-24 06:29:00,2024-07-24 06:51:00,2024-07-24 14:50:00,2024-07-24 16:53:00,501,479,44.74,44.74167,44.73867,44.74367,-57.02,-56.96333,-57.02033,-56.96717,624,2024,423,432,423,435,100059358,5,H33,4VS,1000,100054313,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,156,NA,51,141,15,102348769,30,35,633,7057,J24-0312B,23323,ADELE EVANGELINE,107266,105,H33,18.0857142857143,44.74,-57.02,44.74367,-56.96717,4V,629,651,1450,1653,3,2024-07-24 09:29:00,2024-07-24 09:51:00,2024-07-24 17:50:00,2024-07-24 19:53:00,929,951,1750,1953,YES,44.74185,-56.99768,H33,Nova Scotia,Adele Evangeline,Nova Scotia,0.132
106,100396189,7,2024-07-24 05:43:00,2024-07-24 06:05:00,2024-07-24 12:09:00,2024-07-24 14:04:00,386,364,44.7,44.7,44.69617,44.69333,-57.11667,-57.05667,-57.11283,-57.125,501,2024,432,428,436,430,100059358,5,H33,4VS,1000,100054313,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,156,NA,51,141,15,102348745,30,19,323,7057,J24-0312B,23323,ADELE EVANGELINE,107266,106,H33,17,44.7,-57.11667,44.69333,-57.125,4V,543,605,1209,1404,3,2024-07-24 08:43:00,2024-07-24 09:05:00,2024-07-24 15:09:00,2024-07-24 17:04:00,843,905,1509,1704,YES,44.70077,-57.09385,H33,Nova Scotia,Adele Evangeline,Nova Scotia,0.085
107,100398087,7,2024-07-21 04:31:00,2024-07-21 05:10:00,2024-07-21 12:35:00,2024-07-21 15:07:00,484,445,43.98633,43.96383,43.98533,43.96467,-58.57583,-58.63317,-58.577,-58.6285,636,2024,166,195,170,209,100059401,5,H33,4VS,1000,100054379,1,4,4000,30,8,NA,NA,0.72,5.3,NA,NA,0.54,NA,NA,51,141,15,102364638,30,40,326,7057,J24-0307B,16240,CAPT'N NICK,106425,107,H33,8.15,43.98633,-58.57583,43.96467,-58.6285,4V,431,510,1235,1507,3,2024-07-21 07:31:00,2024-07-21 08:10:00,2024-07-21 15:35:00,2024-07-21 18:07:00,731,810,1535,1807,YES,43.97868,-58.59507,H33,Nova Scotia,Capt'n Nick,Nova Scotia,0.01
