"Year","Canada3NOPS","Canada4VWX5Z","CanadaTotal","Foreign3NOPS","Foreign4VWX5Z","ForeignTotal","GrandTotal","TAC"
"1960-1969",638.4,1520.9,2159.3,492.2,62,554.2,2713.5,NA
"1970-1979",427.8,874,1301.8,73.7,15.4,89.1,1390.9,NA
"1980-1989",738.2,1624.6,2362.8,217,13.8,230.8,2593.6,NA
"1990-1999",323.2,815.4,1138.6,179.6,4.3,183.9,1322.5,1855
"2000-2009",460.9,878.1,1339,147.8,0.1,147.9,1486.9,1340
"2010-2019",638.7,2108,2746.7,308,1.1,309.1,3055.8,2929.9
"2020",1142,3692,4834,492,1,493,5327,5507
"2021",1342,3741,5083,363,0.9,363.9,5446.9,5445
"2022",1613.7,3028.4,4642.1,317,0.9,317.9,4960,4807
"2023",1985.4,2621.8,4607.2,329.8,0.9,330.7,4937.9,4744
"2024",1691.2,3052.5,4743.7,463.5,0.8,464.3,5208,4927
"2025",1064,3200,4264,NA,NA,NA,NA,5149
