Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
1998,130,Halibut,12,Bottom Otter Trawl (stern),3LNQH,3N,841,3O Offshore Halibut - FPI,Tonnes,0,0.34,0,1831.71,0,0,0,1,6,1,20
1998,130,Halibut,12,Bottom Otter Trawl (stern),3LNQH,3O,690,3LNO Offshore Halibut - Tom Fennelly,Tonnes,0,0.22,0,1177.26,0,0,0,1,1,2,3
1998,130,Halibut,12,Bottom Otter Trawl (stern),3LNQH,3O,712,3LNO Offshore - Halibut - AMP Fisheries,Tonnes,0,1.44,0,8414.5,0.01,0,0,7,7,1,20
1998,130,Halibut,12,Bottom Otter Trawl (stern),3LNQH,3O,841,3O Offshore Halibut - FPI,Tonnes,0,1.2,0,6364.63,0,0,0,1,5,3,23
1998,130,Halibut,12,Bottom Otter Trawl (stern),3LNQH,3PS,712,3LNO Offshore - Halibut - AMP Fisheries,Tonnes,0,0.02,0,112.2,0,0,0,1,1,1,1
1998,130,Halibut,12,Bottom Otter Trawl (stern),3OHAL,3O,210,3O Atlantic Halibut,Tonnes,0.86,4.91,0,26687.01,0,0,0,17,17,19,35
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3O,868,3PS Offshore Halibut - FPI ,Tonnes,0,0.01,0,25.75,0,0,0,1,2,2,3
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3PS,1066,3Ps Offshore Halibut - AMP Fisheries,Tonnes,0,0.3,0,1534.5,0.02,0,0,1,1,1,2
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3PS,689,3Ps Offshore Halibut - Tom Fennelly,Tonnes,0,0.43,0,2169.78,0,0,0,1,1,1,3
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3PS,691,3Ps Offshore Halibut - Sea Freeze,Tonnes,0,4.13,0,30758.95,0,0,0,5,5,3,15
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3PS,868,3PS Offshore Halibut - FPI ,Tonnes,0,1.17,0,7416.35,0,0,0,1,4,2,15
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PHQ,3PS,940,3Ps Offshore Halibut - National Sea,Tonnes,0,0,0,0,0,0,0,1,1,1,1
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PN,3PS,95,3Pn Atlantic Halibut,Tonnes,0,0.05,0,330.48,0,0,0,1,1,0,1
1998,130,Halibut,12,Bottom Otter Trawl (stern),3PSHB,3PS,105,3Ps Atlantic Halibut < 65',Tonnes,3,1.12,0,5662.26,0,0,0,2,2,3,6
1998,130,Halibut,21,Danish Seine,3PSHB,3PS,105,3Ps Atlantic Halibut < 65',Tonnes,3,0.01,0,40.5,0,0,0,1,1,0,1
1998,130,Halibut,22,Scottish Seine,3LNQH,3N,841,3O Offshore Halibut - FPI,Tonnes,0,0.03,0,210.6,0,0,0,1,1,1,1
1998,130,Halibut,41,Gill Net (Set or Fixed),3LNQH,3O,734,3NO Offshore Halibut - Cabot Fish Ltd.,Tonnes,0,0.99,0,3991.71,0,0,0,2,1,1,2
1998,130,Halibut,41,Gill Net (Set or Fixed),3OHAL,3O,210,3O Atlantic Halibut,Tonnes,46,25.82,0,131257.03,1.02,0,0,38,37,14,49
1998,130,Halibut,41,Gill Net (Set or Fixed),3OHSQ,3O,267,2GHJ Atlantic Halibut - Scandinavian Longliners,Tonnes,0,4.43,0,22370.22,0,0,0,1,1,2,1
1998,130,Halibut,41,Gill Net (Set or Fixed),3OHSQ,3O,695,3O Offshore Halibut - Scandinavian Longliners > 100',Tonnes,0,10.5,0,60247.06,0.16,0,0,1,1,5,3
1998,130,Halibut,41,Gill Net (Set or Fixed),3PHQ,3PS,692,3Ps Offshore Halibut -  FG 65 - 100',Tonnes,0,3.82,0,18726.66,0.45,0,0,2,3,2,6
1998,130,Halibut,41,Gill Net (Set or Fixed),3PSHB,3O,105,3Ps Atlantic Halibut < 65',Tonnes,22,0.03,0,149.88,0,0,0,1,1,2,1
1998,130,Halibut,41,Gill Net (Set or Fixed),3PSHB,3PS,105,3Ps Atlantic Halibut < 65',Tonnes,22,35.61,0,192055.6,1.49,0,0,81,82,16,135
1998,130,Halibut,51,Longline,3LNQH,3N,694,3LNO Offshore Halibut - Jonathan & Amy Fisheries,Tonnes,0,0.02,0,97.01,0,0,0,1,1,1,1
1998,130,Halibut,51,Longline,3LNQH,3O,694,3LNO Offshore Halibut - Jonathan & Amy Fisheries,Tonnes,0,10.96,0,61195.55,0,0,0,1,2,2,7
1998,130,Halibut,51,Longline,3LNQH,3O,734,3NO Offshore Halibut - Cabot Fish Ltd.,Tonnes,0,0.26,0,349.6,0,0,0,1,1,1,1
1998,130,Halibut,51,Longline,3OHSQ,3O,695,3O Offshore Halibut - Scandinavian Longliners > 100',Tonnes,0,3.77,0,19057.51,0,0,0,1,1,1,2
1998,130,Halibut,51,Longline,3PHQ,3O,692,3Ps Offshore Halibut -  FG 65 - 100',Tonnes,0,0.04,0,49.28,0,0,0,1,1,1,1
1998,130,Halibut,51,Longline,3PHQ,3PS,692,3Ps Offshore Halibut -  FG 65 - 100',Tonnes,0,2.9,0,11709.06,0,0,0,2,3,2,5
1998,130,Halibut,51,Longline,3PSHB,3PS,105,3Ps Atlantic Halibut < 65',Tonnes,22,20.62,0,126571.48,0,0,0,57,57,9,152
