"Year","Canada3NOPS","Canada4VWX5Z","CanadaTotal","Foreign3NOPS","Foreign4VWX5Z","ForeignTotal","GrandTotal","TAC"
1960,1232,1912,3144,926,37,963,4107,NA
1961,1230,1503,2733,738,78,816,3549,NA
1962,1194,1695,2889,468,43,511,3400,NA
1963,674,1541,2215,273,80,353,2568,NA
1964,373,1581,1954,672,90,762,2716,NA
1965,167,1727,1894,452,35,487,2381,NA
1966,318,1140,1458,216,146,362,1820,NA
1967,368,1622,1990,606,12,618,2608,NA
1968,415,1368,1783,285,42,327,2110,NA
1969,413,1120,1533,286,57,343,1876,NA
1970,664,885,1549,119,12,131,1680,NA
1971,481,984,1465,145,59,204,1669,NA
1972,402,862,1264,89,25,114,1378,NA
1973,452,803,1255,42,9,51,1306,NA
1974,345,670,1015,136,13,149,1164,NA
1975,332,674,1006,87,12,99,1105,NA
1976,269,741,1010,81,6,87,1097,NA
1977,576,736,1312,27,8,35,1347,NA
1978,337,1132,1469,8,10,18,1487,NA
1979,420,1253,1673,3,0,3,1676,NA
1980,255,1542,1797,40,4,44,1841,NA
1981,217,1507,1724,27,6,33,1757,NA
1982,468,1836,2304,54,5,59,2363,NA
1983,253,1958,2211,193,5,198,2409,NA
1984,871,2016,2887,182,40,222,3109,NA
1985,1591,1997,3588,472,28,500,4088,NA
1986,1492,1641,3133,221,23,244,3377,NA
1987,801,1184,1985,589,22,611,2596,NA
1988,765,1344,2109,277,3,280,2389,3200
1989,669,1221,1890,115,2,117,2007,3200
1990,702,1163,1865,388,7,395,2260,3200
1991,429,1019,1448,786,10,796,2244,3200
1992,370,978,1348,96,11,107,1455,3200
1993,341,918,1259,50,15,65,1324,3200
1994,162,901,1063,91,0,91,1154,1500
1995,183,568,751,75,0,75,826,850
1996,171,638,809,42,0,42,851,850
1997,302,730,1032,55,0,55,1087,850
1998,321,620,941,74,0,74,1015,850
1999,251,619,870,139,0,139,1009,850
2000,310,547,857,87,0,87,944,1000
2001,501,772,1273,140,0,140,1413,1150
2002,504,778,1282,178,0,178,1460,1150
2003,644,833,1477,338,0,338,1815,1300
2004,442,885,1327,113,0,113,1440,1300
2005,435,834,1269,48,0,48,1317,1375
2006,432,926,1358,20,0,20,1378,1475
2007,524,976,1500,34,0,34,1534,1475
2008,419,1008,1427,33,0,33,1460,1475
2009,398,1222,1620,487,1,488,2108,1700
2010,464,1296,1760,131,1,132,1892,1850
2011,373,1346,1719,218,1,219,1938,1850
2012,531,1491,2022,200,1,201,2223,2128
2013,562,1836,2398,205,1,206,2604,2447
2014,839,1811,2650,312,1,313,2963,2563
2015,693,2174,2867,395,1,396,3263,2738
2016,626,2186,2812,393,1,394,3206,3149
2017,759,2353,3112,403,1,404,3516,3621
2018,699,3171,3870,343,0,343,4213,4164
2019,841,3416,4257,480,3,483,4740,4789
2020,1142,3692,4834,492,1,493,5327,5507
2021,1342,3741,5083,363,0.9,363.9,5446.9,5445
2022,1613.7,3028.4,4642.1,317,0.9,317.9,4960,4807
2023,1985.4,2621.8,4607.2,329.8,0.9,330.7,4937.9,4744
2024,NA,NA,NA,NA,NA,NA,NA,4927
