Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
2016,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,40792,3NO Atlantic Halibut Vessels >100',Tonnes,0,18.17,0,105886.34,0,0,0,1,2,1,17
2016,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,40588,3NO Atlantic Halibut Mobile Gear < 65',Tonnes,9.04,0.03,0,354.45,0,0,0,1,1,1,1
2016,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,40792,3NO Atlantic Halibut Vessels >100',Tonnes,0,33.75,0,193285.2,1.16,0,0,1,3,1,17
2016,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,40291,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,0,0,,0,0,0,0.32,1,1,0,1
2016,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,40795,3Ps Atlantic Halibut >100',Tonnes,0,4.27,0,43763.05,0,0,0,2,3,2,6
2016,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,41363,3Ps Atlantic Halibut  Fixed Gear < 65' Bycatch,Tonnes,0,21.53,0,238209.72,6.17,0,0,89,89,17,288
2016,130,Halibut,51,Longline,3O,3N,40587,3NO Atlantic Halibut Fixed Gear < 65' NL Fleet,Tonnes,67.38,22.35,0,247100.17,0,0,0,1,1,2,2
2016,130,Halibut,51,Longline,3O,3N,40791,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,76.16,0,841970.07,0,0,0,1,1,1,5
2016,130,Halibut,51,Longline,3O,3O,41323,3NO Atlantic Halibut Fixed Gear < 65' Mar Fleet,Tonnes,72.36,0.88,0,9701.75,0,0,0,1,1,1,1
2016,130,Halibut,51,Longline,3PS,3PS,40795,3Ps Atlantic Halibut >100',Tonnes,0,11.04,0,122057.95,0,0,0.01,1,1,3,3
2016,130,Halibut,51,Longline,3PS,3PS,41363,3Ps Atlantic Halibut  Fixed Gear < 65' Bycatch,Tonnes,0,83.31,0,924424.02,0,0,1.32,78,80,13,711
2016,130,Halibut,51,Longline,3PS,3PS,41462,3Ps Atlantic Halibut - FFAW Halibut Survey,Tonnes,20,14.78,0,164286.94,0,0,0.67,9,9,3,22
2016,130,Halibut,59,Hand Line (Baited),3PS,3PS,41363,3Ps Atlantic Halibut  Fixed Gear < 65' Bycatch,Tonnes,0,0.09,0,951.5,0,0,0,2,2,1,4
2016,130,Halibut,71,Dredge (Boat),3PS,3PS,40291,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,0,0,,0,4.63,0,0,1,1,0,2
2017,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,40792,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.35,0,2460.64,0,0,0,1,1,1,3
2017,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,42073,3NO Atlantic Halibut Vessels >100',Tonnes,0,28.73,0,199464.33,0,0,0,2,3,2,15
2017,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,40792,3NO Atlantic Halibut Vessels >100',Tonnes,0,25.82,0,178256.48,0.43,0,0,1,2,1,3
2017,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,42073,3NO Atlantic Halibut Vessels >100',Tonnes,0,6.88,0,47527.26,0.59,0,0,1,2,1,11
2017,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,40291,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,0,0,,0,0.86,0,0,1,1,0,4
2017,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,40795,3Ps Atlantic Halibut >100',Tonnes,0,129.42,0,1006462.76,1.94,0,0,3,7,3,22
2017,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,41573,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,11.68,2.04,0,22667.3,0.12,0,0,2,2,3,6
2017,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,42076,3Ps Atlantic Halibut >100',Tonnes,0,14.06,0,132898.94,0.38,0,0,3,3,2,6
2017,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,41869,3NO Atlantic Halibut Fixed Gear < 65' NL Fleet,Tonnes,84.13,0.9,0,9985.55,0,0,0,1,1,1,1
2017,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,41363,3Ps Atlantic Halibut  Fixed Gear < 65' Bycatch,Tonnes,0,0,,0,0.91,0,0,1,1,0,2
