"Age","LLM","LLF","OTM","OTF"
1,5.97767e-06,2.51227e-05,0.00291997,0.0511596
2,0.000167428,0.00072566,0.714471,0.996555
3,0.0027019,0.0141458,1,1
4,0.0269629,0.16828,0.978555,0.926223
5,0.161943,0.678987,0.917683,0.722127
6,0.494588,0.944313,0.799782,0.420706
7,0.791389,0.990778,0.636295,0.19355
8,0.921658,0.998193,0.469732,0.0829197
9,0.968028,0.999577,0.334801,0.036704
10,0.985226,0.999883,0.239112,0.0174063
11,0.992306,0.999963,0.175021,0.00890275
12,0.99555,0.999986,0.132575,0.00489481
13,0.997187,0.999994,0.104128,0.00287517
14,0.998083,0.999998,0.0846482,0.00179234
15,0.998608,0.999999,0.0709798,0.00117824
16,0.998935,0.999999,0.0611575,0.000812039
17,0.999149,1,0.0539431,0.000583657
18,0.999294,1,0.0485401,0.000435445
19,0.999396,1,0.0444249,0.0003358
20,0.99947,1,0.0412448,0.000266675
21,0.999525,1,0.0387567,0.000217369
22,0.999566,1,0.0367895,0.000181322
23,0.999598,1,0.0352203,0.000154385
24,0.999623,1,0.0339592,0.000133861
25,0.999642,1,0.0329394,0.000117953
26,0.999658,1,0.0321103,0.000105433
27,0.99967,1,0.0314333,9.54457e-05
28,0.99968,1,0.0308784,8.73819e-05
29,0.999688,1,0.0304222,8.08018e-05
30,0.999695,1,0.0300462,7.53816e-05
